사업장명,좌표정보(Y),좌표정보(X),위생업태명
요거트가족 경희대점,454265.3832,204667.1124,커피숍
메리마치,455448.6689,207191.5846,커피숍
엘카페커피로스터스영등포구청점,447076.4338,190596.747,커피숍
헬린이식단,454136.2175,206829.2106,커피숍
상봉역 니체와쇼팽,454942.1764,207527.8773,커피숍
탐앤탐스탐스퀘어영등포점,446239.26,191556.7172,커피숍
디베이글,450731.9599,194398.0571,커피숍
서울버터샌드,439761.362,190838.3248,커피숍
까,450948.789,198770.9135,커피숍
커피시네마,448392.6078,190492.4946,커피숍
COA(코아),445192.7459,201795.6641,커피숍
알프스샬레,437956.1298,204842.1654,커피숍
카페 b&d,442066.9987,189378.3325,커피숍
스타벅스 서래마을성당점,443521.3782,199362.1675,커피숍
(주)플러스원솔루션,439205.43,204729.8912,커피숍
빨라졕,441816.2179,199860.8826,커피숍
영커피 강남해커스점,444034.0396,202115.4107,커피숍
녹색광선,442819.4946,201199.0649,커피숍
카페공방,454408.6647,208517.182,커피숍
에이미스커피,451317.1896,196829.2728,커피숍
라온 커피 앤 브래드,                    ,                    ,커피숍
찰리브라운카페 강남점,443692.6606,202368.3919,커피숍
블랙앤트리,440363.9545,189978.0509,커피숍
달숲,453295.3324,192352.4151,커피숍
JD카페,442618.448,201353.7405,커피숍
The Coffee Company,444083.7987,200876.614,커피숍
희망카페 중앙도서관점,445727.2992,185221.4911,커피숍
(주)디저트힐,441207.6551,189419.0919,커피숍
카페네,440007.0454,190963.0736,커피숍
TB CAFE (티비카페),440597.3208,198823.7715,커피숍
카페 두다트(Cafe DuDart) 서초역점,443263.222,200667.1044,커피숍
카페블루포트 금융감독원 9층점,446761.1089,192976.0197,커피숍
어스,443660.3149,201070.9904,커피숍
달(DALL),443538.6724,198480.2532,커피숍
돌쇠와꽃님이,447716.3326,188967.4457,커피숍
공차(금천현대지식센터점),440764.4263,190694.8803,커피숍
웰어스,441538.7071,198743.8669,커피숍
공차 남부터미널역점,442500.6304,201430.9,커피숍
라 파티쉐리 킴 방배역점,442267.196,199500.2045,커피숍
(주)동원홈푸드 카페키니 연세대점,                    ,                    ,커피숍
루터커피,451937.4746,196476.4329,커피숍
오븐에오분,450652.2121,194960.9291,커피숍
라이프커피 컴퍼니,450726.951,195074.4013,커피숍
(주)롯데리아-이대역점,450528.826,194992.4809,패스트푸드
씨제이프레시웨이(주)그랜드힐튼호텔점 카페,454098.9703,194211.9972,커피숍
피씨앤푸드,452883.4731,202645.0012,커피숍
투썸플레이스 상봉역점,454908.8588,207595.2059,커피숍
버블스토리 서래마을점,444048.7777,199682.0672,커피숍
고메카페,446192.8843,189959.044,커피숍
커피빈신촌역앞점,450677.4667,194905.2882,커피숍
카페드머랭,446396.9756,193636.7688,커피숍
아모르(Amor coffee),445268.797,190862.1621,커피숍
Filter Coffee (필터커피),443586.1894,198751.2098,커피숍
티아레타히티,442791.9984,201879.5261,커피숍
투데이즈 커피(Todayz coffee),452132.4769,206390.1732,커피숍
카페잇 시흥사거리점,439004.3022,191146.2732,커피숍
코시스,442382.7778,201754.1887,커피숍
(주)커피빈코리아 예술의전당앞점,442118.0099,201095.4222,커피숍
배꽃커피,450786.5173,195029.9737,커피숍
요거프레소 이수역점,442272.8596,198364.9947,커피숍
카페모닝,447990.7873,191320.409,커피숍
달롤선유로점,446594.4449,190271.8526,커피숍
노브랜드버거 서대문구청점,453304.0798,194339.6053,패스트푸드
M카페,443244.9881,200744.4597,커피숍
멀티커피 영등포구청역점,447157.355,190833.823,커피숍
아미고스,451320.6597,199280.7406,커피숍
이디야서초법원점,443542.6823,200948.5409,커피숍
이디야여의나루역점,447090.1479,193809.0125,커피숍
바나프레소 가산파트너스타워점,441229.111,189700.0269,커피숍
유니유니베이비카페,452155.6911,206101.9138,커피숍
스페이스엠,440676.3799,203392.7935,커피숍
북아현 마을 북카페,450801.2035,196133.7287,커피숍
버거킹남부터미널점,442438.5003,201310.1678,패스트푸드
착한커피,448869.8792,184821.2377,커피숍
매머드익스프레스 목2동점,449409.1436,188563.7467,커피숍
L&H Deli(엘엔에이치델리),446607.0307,188477.5122,커피숍
프린세스머핀,450522.8564,195013.398,커피숍
신사장,442739.647,201213.6407,커피숍
프라넬,442810.2806,201930.2413,커피숍
시즌글라스 디지탈미디어시티 협동조합,453163.7025,191778.7162,커피숍
매머드커피익스프레스(문래점),446496.8653,190199.2294,커피숍
디톡시,450705.6642,194986.147,커피숍
커피에반하다(망우점),455389.7115,209405.1312,커피숍
카페네스카페신촌현대점,450501.1689,194326.4127,커피숍
카페썸 cafe ssum,444734.0107,201759.74,커피숍
오힛(ohit),452670.9935,194098.8629,커피숍
공차 예술의전당점,442099.7531,201278.6479,커피숍
파인트리(Pine Tree),444601.5234,201934.6406,커피숍
카페 어썸,441654.0104,189522.3367,커피숍
COFFEE KING 커피킹,441392.8335,190852.9357,커피숍
탐앤탐스커피(서래점),443832.0913,199754.7061,커피숍
카페앤플라워,453913.6952,206705.2631,커피숍
래핑폭스,451689.9438,193600.5843,커피숍
코티커피신촌역점,450425.2169,194183.2095,커피숍
카페 단홍,453324.2169,203810.6097,커피숍
주식회사 네마,452973.217,191833.6447,커피숍
홍제삼거리점 빽다방,453892.9799,195184.0969,커피숍
알로하 토스트랑 커피랑,452953.4886,194257.2294,커피숍
카페컴온,444683.2205,200250.4478,커피숍
장은옥의 Get it Flower(겟 잇 플라워),441076.315,203393.38,커피숍
히얼,451217.5855,196763.2358,커피숍
세븐일레븐 서대문구청점,453267.7566,194331.3732,커피숍
